Registration number ,A,B,C,D,E,F,G,,,,
2213221,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2213380,Bees,Bird,Butterflies,Carabids,Isopods,Ladybirds,Macromoths,,,,
2213383,Bees,Bird,Bryophytes,Butterflies,Carabids,Macromoths,Grasshoppers_._Crickets,,,,
2213409,Bees,Bird,Bryophytes,Butterflies,Carabids,Isopods,Ladybirds,,,,
2213411,Bees,Bryophytes,Butterflies,Carabids,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2213412,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Vascular_plants,,,,
2213415,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Grasshoppers_._Crickets,,,,
2213427,Bird,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213446,Bees,Bird,Carabids,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213453,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Vascular_plants,,,,
2213459,Bird,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2213543,Bees,Bird,Butterflies,Hoverflies,Ladybirds,Macromoths,Vascular_plants,,,,
2213544,Bird,Carabids,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213546,Bees,Carabids,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213548,Bees,Butterflies,Hoverflies,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213552,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Macromoths,,,,
2213553,Bees,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2213554,Bees,Bird,Butterflies,Carabids,Isopods,Ladybirds,Vascular_plants,,,,
2213557,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Ladybirds,Grasshoppers_._Crickets,,,,
2213558,Bird,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213609,Bees,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Macromoths,,,,
2213614,Bryophytes,Butterflies,Carabids,Hoverflies,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213615,Bird,Bryophytes,Butterflies,Hoverflies,Isopods,Ladybirds,Macromoths,,,,
2213618,Bees,Bird,Carabids,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2213619,Bird,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213626,Bees,Bird,Butterflies,Hoverflies,Isopods,Macromoths,Grasshoppers_._Crickets,,,,
2213627,Bird,Butterflies,Carabids,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213628,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2213688,Bees,Bird,Bryophytes,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2213691,Bees,Bird,Bryophytes,Carabids,Hoverflies,Isopods,Ladybirds,,,,
2213692,Bees,Bryophytes,Hoverflies,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2213880,Bees,Bryophytes,Butterflies,Carabids,Ladybirds,Macromoths,Vascular_plants,,,,
2213905,Bees,Bird,Bryophytes,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2213906,Bird,Butterflies,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2213907,Bees,Bird,Bryophytes,Carabids,Isopods,Ladybirds,Grasshoppers_._Crickets,,,,
2213975,Bees,Bird,Bryophytes,Carabids,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2214044,Bees,Bryophytes,Butterflies,Carabids,Isopods,Macromoths,Vascular_plants,,,,
2214060,Bees,Bird,Bryophytes,Isopods,Macromoths,Grasshoppers_._Crickets,Vascular_plants,,,,
2214061,Bird,Bryophytes,Butterflies,Carabids,Ladybirds,Grasshoppers_._Crickets,Vascular_plants,,,,
2214122,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Grasshoppers_._Crickets,Vascular_plants,,,,
2214123,Bees,Bird,Bryophytes,Butterflies,Hoverflies,Ladybirds,Grasshoppers_._Crickets,,,,
2214334,Bees,Bryophytes,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,,,,
2214835,Bees,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Macromoths,,,,
